district,name,province,long,lat,cholera,census,rainfall,temp
Agra,Agra,United.Provinces,78.1554518755035,27.0599077979305,TRUE,TRUE,TRUE,FALSE
Akola,Akola,Berar,77.1406889783179,20.5066989631122,FALSE,FALSE,FALSE,FALSE
Akyab,Akyab,Burma,93.0348159878817,20.75553464239,FALSE,FALSE,FALSE,FALSE
Aligarh,Aligarh,United.Provinces,78.1499036309583,27.8356419044,TRUE,TRUE,TRUE,FALSE
Allahabad,Allahabad,United.Provinces,81.8846951898663,25.3287746226583,TRUE,TRUE,TRUE,FALSE
Almora,Almora,United.Provinces,80.1313880382013,29.8868263747031,TRUE,TRUE,TRUE,FALSE
Ambala,Ambala,Punjab,77.0328559116919,30.4881036344562,TRUE,TRUE,FALSE,FALSE
Amherst,Amherst,Burma,98.2116554514847,16.0038185579017,FALSE,FALSE,FALSE,FALSE
Amraoti,Amraoti,Berar,77.5891207114957,21.196646660195,FALSE,FALSE,FALSE,FALSE
Amritsar,Amritsar,Punjab,74.9576218369161,31.5711742972869,TRUE,TRUE,FALSE,FALSE
Anantapur,Anantapur,Madras,77.5277517744243,14.4996287297637,TRUE,TRUE,FALSE,FALSE
Angul,Angul,Orissa,84.9864946597942,20.8526886293603,FALSE,FALSE,FALSE,FALSE
Attock,Attock,Punjab,72.3746601038945,33.2702045915363,TRUE,TRUE,FALSE,FALSE
Azamgarh,Azamgarh,United.Provinces,83.263398374032,26.0426848224444,TRUE,TRUE,TRUE,FALSE
Backergunge,Backergunge,Bengal,90.2766153629227,22.4680851226663,TRUE,TRUE,TRUE,TRUE
Bahraich,Bahraich,United.Provinces,81.6683113997858,27.6921374768092,TRUE,TRUE,TRUE,FALSE
Balaghat,Balaghat,Central.Provinces,80.4696491750129,21.8986158954881,FALSE,FALSE,FALSE,FALSE
Balasore,Balasore,Orissa,86.9121849629266,21.2895232947583,TRUE,TRUE,FALSE,FALSE
Ballia,Ballia,United.Provinces,84.200540884252,25.8746067460297,TRUE,TRUE,TRUE,FALSE
Banda,Banda,United.Provinces,80.8040055263559,25.3523445123907,TRUE,TRUE,TRUE,FALSE
Bankura,Bankura,Bengal,87.2031896429579,23.1234521591614,TRUE,TRUE,TRUE,TRUE
Bannu,Bannu,Northwest.Frontier,70.8362812815935,32.6955996151249,TRUE,TRUE,FALSE,FALSE
Barabanki,Barabanki,United.Provinces,81.4282724010303,26.8975617879197,TRUE,TRUE,TRUE,FALSE
Bareilly,Bareilly,United.Provinces,79.4821380566591,28.442245441297,TRUE,TRUE,TRUE,FALSE
Bassein,Bassein,Burma,94.8684138639544,16.8600447354673,FALSE,FALSE,FALSE,FALSE
Basti,Basti,United.Provinces,82.8926377564809,26.9722885649949,TRUE,TRUE,TRUE,FALSE
Bellary,Bellary,Madras,76.7035606241055,15.131949341555,TRUE,TRUE,FALSE,FALSE
Benares,Benares,United.Provinces,83.128367032818,25.3470686732013,TRUE,TRUE,TRUE,FALSE
Betul,Betul,Central.Provinces,77.9223663766395,21.8851644374892,FALSE,FALSE,FALSE,FALSE
Bhagalpur,Bhagalpur,Bihar,86.9227262933359,25.526403751577,TRUE,TRUE,TRUE,TRUE
Bhamo,Bhamo,Burma,97.2039654761692,24.2382698573803,FALSE,FALSE,FALSE,FALSE
Bhandara,Bhandara,Central.Provinces,80.0468800724976,21.1793290889498,FALSE,FALSE,FALSE,FALSE
Bijnor,Bijnor,United.Provinces,78.4646892283897,29.4324687339042,TRUE,TRUE,TRUE,FALSE
Bilaspur,Bilaspur,Central.Provinces,82.297323654292,22.323983839791,FALSE,FALSE,FALSE,FALSE
Birbhum,Birbhum,Bengal,87.727002134923,23.9401096376553,TRUE,TRUE,TRUE,FALSE
Bogra,Bogra,Bengal,89.3480821027606,24.8959994494938,TRUE,TRUE,TRUE,TRUE
Budaun,Budaun,United.Provinces,79.0084180643568,28.0851002619725,TRUE,TRUE,TRUE,FALSE
Bulandshahr,Bulandshahr,United.Provinces,77.9462576101665,28.3674764691056,TRUE,TRUE,TRUE,FALSE
Buldana,Buldana,Berar,76.3637413464667,20.5091852904634,FALSE,FALSE,FALSE,FALSE
Burdwan,Burdwan,Bengal,87.8327837743825,23.4204156962558,TRUE,TRUE,TRUE,TRUE
Cachar,Cachar,Assam,92.9529383202043,24.9808847371667,TRUE,TRUE,FALSE,TRUE
Calcutta,Calcutta,Bengal,88.4305394973146,22.5769823649426,TRUE,TRUE,TRUE,FALSE
Cawnpore,Cawnpore,United.Provinces,80.0719672130461,26.3983800533232,TRUE,TRUE,TRUE,FALSE
Champaran,Champaran,Bihar,84.6964262126339,26.8668706931791,TRUE,TRUE,TRUE,TRUE
Chanda,Chanda,Central.Provinces,80.0447162288013,19.9826832832006,FALSE,FALSE,FALSE,FALSE
Chhindwara,Chhindwara,Central.Provinces,78.9263428730807,22.1101656895255,FALSE,FALSE,FALSE,FALSE
Chin.Hills,Chin.Hills,Burma,93.6602079210336,22.8099778942573,FALSE,FALSE,FALSE,FALSE
