## Data on COVID-19 cases by variant in several countries.
## Accessed on 2024-01-22 from
## https://ourworldindata.org/grapher/covid-variants-area?time=earliest..2023-12-04&facet=none&country=~USA
Entity,Code,Day,Alpha,Beta,Gamma,Delta,Omicron (BA.2),Omicron (BA.1),Omicron (BA.5),Omicron (BA.4),Omicron (BA.2.12.1),Omicron (BA.2.75),Omicron (BQ.1),Omicron (XBB),Omicron (XBB.1.5),Omicron (XBB.1.16),Omicron (CH.1.1),Omicron (XBB.1.9),Omicron (XBB.2.3),Omicron (EG.5.1),Recombinant,non_who
Albania,ALB,2021-12-06,0,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,ALB,2021-12-20,0,0,0,311,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,ALB,2022-01-31,0,0,0,11,6,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,ALB,2022-02-14,0,0,0,8,21,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,ALB,2022-02-28,0,0,0,1,19,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,ALB,2022-07-18,0,0,0,0,4,0,99,2,1,0,0,0,0,0,0,0,0,0,0,0
Algeria,DZA,2022-08-01,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,ARG,2020-05-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146
Argentina,ARG,2020-05-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165
Argentina,ARG,2020-07-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110
Argentina,ARG,2020-08-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110
Argentina,ARG,2020-08-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135
Argentina,ARG,2021-03-15,9,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
Argentina,ARG,2021-03-29,32,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114
