province,district,year,census
Assam,Cachar,1891,367542
Assam,Cachar,1900,414781
Assam,Cachar,1911,497463
Assam,Cachar,1921,500484
Assam,Cachar,1931,537687
Assam,Cachar,1941,607507
Assam,Darrang,1891,307761
Assam,Darrang,1900,337313
Assam,Darrang,1911,377314
Assam,Darrang,1921,477442
Assam,Darrang,1931,584817
Assam,Darrang,1941,741857
Assam,Goalpara,1891,452304
Assam,Goalpara,1900,462052
Assam,Goalpara,1911,600643
Assam,Goalpara,1921,762523
Assam,Goalpara,1931,882748
Assam,Goalpara,1941,1018670
Assam,Kamrup,1891,634249
Assam,Kamrup,1900,589187
Assam,Kamrup,1911,667828
Assam,Kamrup,1921,762671
Assam,Kamrup,1931,976746
Assam,Kamrup,1941,1273782
Assam,Lakhimpur,1891,254053
Assam,Lakhimpur,1900,371396
Assam,Lakhimpur,1911,468989
Assam,Lakhimpur,1921,586577
Assam,Lakhimpur,1931,724582
Assam,Lakhimpur,1941,900517
Assam,Nowgong,1891,344141
Assam,Nowgong,1900,261160
Assam,Nowgong,1911,303596
Assam,Nowgong,1921,398007
Assam,Nowgong,1931,562581
Assam,Nowgong,1941,715741
Assam,Sibsagar,1891,457274
Assam,Sibsagar,1900,597969
Assam,Sibsagar,1911,690299
Assam,Sibsagar,1921,823197
Assam,Sibsagar,1931,933326
Assam,Sibsagar,1941,1079455
Assam,Sylhet,1891,2154593
Assam,Sylhet,1900,2241848
Assam,Sylhet,1911,2472671
Assam,Sylhet,1921,2541341
Assam,Sylhet,1931,2724342
Assam,Sylhet,1941,3129677
Bengal,Backergunge,1891,2153965
Bengal,Backergunge,1901,2291752
Bengal,Backergunge,1911,2428911
Bengal,Backergunge,1921,2623756
Bengal,Backergunge,1931,2939050
Bengal,Backergunge,1941,3549010
Bengal,Bankura,1891,1069668
Bengal,Bankura,1901,1116411
Bengal,Bankura,1911,1138670
Bengal,Bankura,1921,1019941
Bengal,Bankura,1931,1111721
Bengal,Bankura,1941,1289640
Bengal,Birbhum,1891,797833
Bengal,Birbhum,1901,902280
Bengal,Birbhum,1911,935473
Bengal,Birbhum,1921,847570
Bengal,Birbhum,1931,947554
Bengal,Birbhum,1941,1048317
Bengal,Bogra,1891,817494
Bengal,Bogra,1901,854533
Bengal,Bogra,1911,983567
Bengal,Bogra,1921,1048606
Bengal,Bogra,1931,1086419
Bengal,Bogra,1941,1260463
Bengal,Burdwan,1891,1391880
Bengal,Burdwan,1901,1532475
Bengal,Burdwan,1911,1538371
Bengal,Burdwan,1921,1438926
Bengal,Burdwan,1931,1575699
Bengal,Burdwan,1941,1890732
