province,district,year,month,cholera.deaths,date
Assam,Cachar,1891,1,45,1891-01-31
Assam,Cachar,1891,2,61,1891-02-28
Assam,Cachar,1891,3,154,1891-03-31
Assam,Cachar,1891,4,717,1891-04-30
Assam,Cachar,1891,5,895,1891-05-31
Assam,Cachar,1891,6,218,1891-06-30
Assam,Cachar,1891,7,38,1891-07-31
Assam,Cachar,1891,8,21,1891-08-31
Assam,Cachar,1891,9,38,1891-09-30
Assam,Cachar,1891,10,29,1891-10-31
Assam,Cachar,1891,11,8,1891-11-30
Assam,Cachar,1891,12,8,1891-12-31
Assam,Cachar,1892,1,6,1892-01-31
Assam,Cachar,1892,2,7,1892-02-29
Assam,Cachar,1892,3,95,1892-03-31
Assam,Cachar,1892,4,316,1892-04-30
Assam,Cachar,1892,5,207,1892-05-31
Assam,Cachar,1892,6,159,1892-06-30
Assam,Cachar,1892,7,63,1892-07-31
Assam,Cachar,1892,8,74,1892-08-31
Assam,Cachar,1892,9,51,1892-09-30
Assam,Cachar,1892,10,28,1892-10-31
Assam,Cachar,1892,11,29,1892-11-30
Assam,Cachar,1892,12,79,1892-12-31
Assam,Cachar,1893,1,124,1893-01-31
Assam,Cachar,1893,2,30,1893-02-28
Assam,Cachar,1893,3,4,1893-03-31
Assam,Cachar,1893,4,23,1893-04-30
Assam,Cachar,1893,5,52,1893-05-31
Assam,Cachar,1893,6,38,1893-06-30
Assam,Cachar,1893,7,44,1893-07-31
Assam,Cachar,1893,8,84,1893-08-31
Assam,Cachar,1893,9,227,1893-09-30
Assam,Cachar,1893,10,892,1893-10-31
Assam,Cachar,1893,11,725,1893-11-30
Assam,Cachar,1893,12,289,1893-12-31
Assam,Cachar,1894,1,75,1894-01-31
Assam,Cachar,1894,2,111,1894-02-28
Assam,Cachar,1894,3,127,1894-03-31
Assam,Cachar,1894,4,51,1894-04-30
Assam,Cachar,1894,5,31,1894-05-31
Assam,Cachar,1894,6,31,1894-06-30
Assam,Cachar,1894,7,17,1894-07-31
Assam,Cachar,1894,8,19,1894-08-31
Assam,Cachar,1894,9,12,1894-09-30
Assam,Cachar,1894,10,7,1894-10-31
Assam,Cachar,1894,11,8,1894-11-30
Assam,Cachar,1894,12,4,1894-12-31
Assam,Cachar,1895,1,5,1895-01-31
Assam,Cachar,1895,2,10,1895-02-28
Assam,Cachar,1895,3,52,1895-03-31
Assam,Cachar,1895,4,152,1895-04-30
Assam,Cachar,1895,5,184,1895-05-31
Assam,Cachar,1895,6,74,1895-06-30
Assam,Cachar,1895,7,34,1895-07-31
Assam,Cachar,1895,8,26,1895-08-31
