## Data received from Nils Chr. Stenseth, 1 Oct. 1998.  His comments: 
## 
## Data from Kilpisjarvi in Northern Finland - what I consider the very best small
## rodent series worldwide (please treat these data with some discretion; don't
## report them or circulate them further without me knowing about it and approving
## it; me having these and other sets of data is based on trust - and I give these
## and similar data only to a very few people.
## 
## Columns:	A.	Year
## 		B.	All rodents, fall.
## 		C.	C. rufocanus, fall.
## 		D.	All rodents, spring.
## 		E.	C. rufocanus, spring.
"year","season","all.rodents","C.rufocanus","time"
1949,"spring",NA,NA,1949.0
1949,"fall",28.3,20.0,1949.5
1950,"spring",NA,NA,1950.0
1950,"fall",22.1,15.7,1950.5
1951,"spring",NA,NA,1951.0
1951,"fall", 0.5, 0.4,1951.5
1952,"spring",NA,NA,1952.0
1952,"fall", 1.3, 1.0,1952.5
1953,"spring", 0.4, 0.2,1953.0
1953,"fall", 6.9, 5.7,1953.5
1954,"spring", 2.1, 1.9,1954.0
1954,"fall",13.8,10.8,1954.5
1955,"spring",13.4,12.9,1955.0
1955,"fall",23.3,15.1,1955.5
1956,"spring", 2.4, 2.4,1956.0
1956,"fall", 7.4, 5.6,1956.5
1957,"spring", 0.4, 0.2,1957.0
1957,"fall", 0.9, 0.6,1957.5
1958,"spring", 4.2, 4.0,1958.0
1958,"fall", 3.8, 3.1,1958.5
1959,"spring", 7.1, 5.9,1959.0
1959,"fall",12.1, 9.9,1959.5
1960,"spring",15.4, 5.9,1960.0
1960,"fall",18.4, 6.3,1960.5
1961,"spring", 0.5, 0.1,1961.0
1961,"fall", 1.0, 0.5,1961.5
1962,"spring", 0.2, 0.2,1962.0
1962,"fall", 3.2, 3.0,1962.5
1963,"spring", 5.2, 2.6,1963.0
1963,"fall",14.1,12.6,1963.5
1964,"spring",16.6, 8.8,1964.0
1964,"fall",15.6,13.1,1964.5
1965,"spring", 1.0, 0.7,1965.0
1965,"fall", 0.5, 0.4,1965.5
1966,"spring", 0.0, 0.0,1966.0
1966,"fall", 1.8, 1.5,1966.5
1967,"spring", 1.2, 0.7,1967.0
1967,"fall", 2.1, 1.5,1967.5
1968,"spring", 1.2, 0.4,1968.0
1968,"fall", 7.8, 5.3,1968.5
1969,"spring", 5.8, 5.3,1969.0
1969,"fall",38.1,13.9,1969.5
1970,"spring", 8.2, 6.8,1970.0
1970,"fall", 9.8, 3.4,1970.5
1971,"spring", 0.1, 0.0,1971.0
1971,"fall", 0.8, 0.1,1971.5
1972,"spring", 0.5, 0.0,1972.0
1972,"fall", 4.6, 1.0,1972.5
1973,"spring", 6.1, 3.2,1973.0
1973,"fall",19.1,15.1,1973.5
1974,"spring",23.0,14.0,1974.0
1974,"fall",17.2,14.7,1974.5
1975,"spring", 9.7, 8.2,1975.0
1975,"fall", 4.6, 3.8,1975.5
1976,"spring", 0.1, 0.0,1976.0
1976,"fall", 0.6, 0.5,1976.5
1977,"spring", 3.6, 2.8,1977.0
1977,"fall",15.2,11.1,1977.5
1978,"spring",12.5, 9.9,1978.0
1978,"fall",32.2,18.2,1978.5
1979,"spring", 0.0, 0.0,1979.0
1979,"fall", 0.3, 0.0,1979.5
1980,"spring", 0.4, 0.0,1980.0
1980,"fall", 2.1, 1.9,1980.5
1981,"spring", 3.1, 2.1,1981.0
1981,"fall",19.9,17.1,1981.5
1982,"spring",21.2,18.1,1982.0
1982,"fall",27.0,24.1,1982.5
1983,"spring",16.2,15.3,1983.0
1983,"fall",27.1,26.3,1983.5
1984,"spring", 1.0, 0.7,1984.0
1984,"fall", 0.4, 0.3,1984.5
1985,"spring", 0.3, 0.2,1985.0
1985,"fall", 1.7, 1.0,1985.5
1986,"spring", 1.8, 1.5,1986.0
1986,"fall",19.2,15.5,1986.5
1987,"spring",12.2,10.7,1987.0
1987,"fall",18.9,16.0,1987.5
1988,"spring", 3.9, 3.0,1988.0
1988,"fall", 7.5, 6.4,1988.5
1989,"spring", 1.2, 0.6,1989.0
1989,"fall", 1.6, 0.8,1989.5
1990,"spring", 0.2, 0.1,1990.0
1990,"fall",10.3, 2.5,1990.5
1991,"spring", 2.0, 0.1,1991.0
1991,"fall",15.3, 2.4,1991.5
1992,"spring", 5.3, 1.2,1992.0
1992,"fall",16.7, 7.1,1992.5
1993,"spring", 4.4, 1.8,1993.0
1993,"fall",12.4, 3.6,1993.5
1994,"spring", 1.8, 1.1,1994.0
1994,"fall", 2.7, 1.6,1994.5
1995,"spring", 0.3, 0.2,1995.0
1995,"fall", 6.5, 0.3,1995.5
1996,"spring", 1.5, 0.2,1996.0
1996,"fall", 8.2, 0.5,1996.5
1997,"spring", 6.2, 0.5,1997.0
1997,"fall",NA,NA,1997.5
