"dataset","model","loglik","loglik.sd","nfail.max","nfail.min","gamma","eps","rho","delta","deltaI","clin","alpha","beta.trend","log.beta1","log.beta2","log.beta3","log.beta4","log.beta5","log.beta6","omega1","omega2","omega3","omega4","omega5","omega6","sd.beta","tau","S.0","I.0","Rs.0","R1.0","R2.0","R3.0","nbasis","nrstage"
"Bakergange","omega",-3635.0481975838,0.703698743902993,0,0,11.6770129530059,20.8031954614826,0,0.02,0.044072896785844,1,1,-0.00573961860913366,-0.75186954353123,7.71536039783626,-13.6627415463898,3.55368278137817,1.62335734099919,5.4711609666455,0.0422091282364224,3.80676835102822,0.0105250358468647,0.0153049829878566,0.00063866571742319,0.463794171430618,2.9006482222119,0.291959175604867,0.277083776060941,1.5033846229133,0,6.8251781986765,0.148452881838332,0.119954929403114,6,3
"Bakergange","omega",-3635.25164598349,0.89564799606794,0,0,11.7756043676864,18.1764361669727,0,0.02,0.0405953228331963,1,1,-0.00574843410727895,-0.89549166058021,7.71536039783626,-12.2596458951086,3.2008679524807,1.71946738336518,5.43835019741092,0.0778701294241148,1.7619884730332,0.0220080512308465,0.0119279947134188,0.000597934534270039,0.523437901750877,2.88603713516392,0.301660965577441,0.666471045933429,0.737075790098816,0,1.40141171324558,1.30827846470143,0.0365131473015045,6,3
"Bakergange","omega",-3636.05559904628,0.627820247413944,0,0,11.6121263204474,17.2905046868428,0,0.02,0.0422725216198641,1,1,-0.00679083733263986,-1.00165911190391,7.71536039783626,-12.3618552574523,3.62932339229481,1.62010695160831,5.47681388316078,0.0431420108713472,3.73251106878333,0.00847004664707257,0.0254163161764558,0.000259591952982622,1.12148692507641,2.9217561683663,0.296701188368255,0.474976910451807,0.52543601743456,0,1.35259953285265,0.593802002335814,0.0927052721711657,6,3
"Bakergange","omega",-3636.4484374492,0.734341610886962,0,0,11.5358267760846,21.7373486864607,0,0.02,0.0396077712098792,1,1,-0.00682620961933465,-0.91853232518288,7.71536039783626,-12.1179152004779,2.75347589090338,1.83430600756755,5.36899069702309,0.124810401826246,1.02573604361775,0.0137771153624801,0.0163034032143738,0.000548584320740365,0.51469807440215,2.79519553715154,0.304431059728589,0.32439349321843,2.34540046930967,0,2.85419848905591,6.97165792518588,0.0222503848681811,6,3
"Bakergange","omega",-3636.48129535755,1.18294371005031,0,0,11.2177927666375,30.3994730225487,0,0.02,0.0341595625270858,1,1,-0.00599206366374793,-0.917976541794937,7.71536039783626,-12.2529871778721,3.23201579799934,1.69743493899234,5.47218402839772,0.117014398659822,1.53999611072384,0.0236789762318508,0.0133540218241637,0.000728030157907183,0.511933551875201,2.84715713859811,0.300583551954534,0.170342732232619,0.971564462085495,0,3.74100230957999,0.11727045231104,0.0278813287930094,6,3
"Bakergange","omega",-3636.583081016,0.925770734674634,0,0,11.2742176018905,16.2824980155792,0,0.02,0.0435652657442743,1,1,-0.00604303633180381,-0.887065935257066,7.71536039783626,-12.0411470478983,2.85478096814794,1.69219964447088,5.42990751395982,0.0978275041110854,1.07919341692331,0.00964663735710434,0.0131378425995639,0.000736515426072205,0.367527043748707,2.85073725254359,0.30077624337685,3.54872218601563,2.68997252784004,0,8.78100038657523,0.745215690304668,0.128350080305936,6,3
"Bakergange","omega",-3636.70460130437,0.565924112778316,0,0,12.0737795050412,16.7038223971012,0,0.02,0.0416249611645013,1,1,-0.00633424976157486,-0.793786250368953,7.71536039783626,-12.3263192534556,3.54200923448084,1.77534601420471,5.36630565693092,0.0716129931688978,1.91382986182921,0.0229638502580317,0.0173257437516822,0.000362243442849498,0.884349236083795,2.93931668568721,0.296368388231599,0.484029255129024,1.77487273627643,0,2.58665821566589,4.88429769686368,0.0237148144329511,6,3
"Bakergange","omega",-3637.441730465,1.10549380787588,0,0,11.6329274260054,21.8458761811792,0,0.02,0.0382181296259024,1,1,-0.00538777640153997,-0.735057644271651,7.71536039783626,-11.6476971509151,3.41324552173638,1.79402030455524,5.42619298282149,0.064484000875889,1.58047968866764,0.01533939907357,0.0159083211869716,0.000413914180972251,0.586685240942343,2.84068288116055,0.302903835576016,0.912729826191948,3.53202572165671,0,8.7689552271646,4.85362510617917,0.121397513322273,6,3
"Bakergange","omega",-3637.51660398426,1.29762984184307,0,0,11.537253138851,18.2951263820724,0,0.02,0.0400063427236378,1,1,-0.00689192565952725,-0.73572020453078,7.71536039783626,-11.6594894662663,2.68592398831289,1.85035257467773,5.31751783150343,0.111626109850292,0.545560394386862,0.0138314031911222,0.0146409084876325,0.000685351488240178,0.428228393031323,2.79845012990952,0.305194417190013,0.8408568882609,2.71854415126158,0,9.57061344100638,0.374921005845909,0.125164725944725,6,3
"Bakergange","omega",-3637.56663507423,0.961858470789442,0,0,11.454535606953,19.5893760987106,0,0.02,0.042092247953859,1,1,-0.0063400532387564,-0.823577848321816,7.71536039783626,-12.1684889503585,2.91587073309772,1.89487586664319,5.3539328261118,0.15382367006223,0.585161666682479,0.0220902837887829,0.0122620663750297,0.000550754930262666,0.366949566177742,2.84898863863432,0.29630375971974,0.268431729713951,0.90838618847335,0,2.49841799532048,0.88843372196545,0.147893538823348,6,3
